Restaurant ID,Name,Cuisine,Locality,City,Latitude,Longitude,Rating,Total Number Ratings,Delivery
16600038,Bib & Tucker,"Modern Australian, Cafe Food",North Fremantle,Perth,-32.0284215000,115.7498293000,4.1,692,No
16597645,Mrs. S,"Patisserie, Cafe Food",Maylands,Perth,-31.9286800875,115.8919624239,4.5,643,No
18196379,tbsp.,"Sandwich, Coffee and Tea, Cafe Food",Bayswater,Perth,-31.9194560000,115.9096643000,4.7,335,No
16598431,Tuck Shop Cafe,"Modern Australian, Cafe Food",Northbridge,Perth,-31.9467356499,115.8621080965,4.8,799,No
16599082,Sayers Sister,"Modern Australian, Coffee and Tea",Perth CBD,Perth,-31.9404785312,115.8615736663,4.6,496,No
16595894,Ciao Italia,"Italian, Seafood",South Perth,Perth,-31.9777042880,115.8687559515,4.5,509,Yes
16596036,Ha-Lu,"Japanese, Tapas","Oxford Street, Leederville",Perth,-31.9233773227,115.8411462978,4.8,243,No
16599032,Piccolo's Corner,"Healthy Food, Cafe Food",West Leederville,Perth,-31.9388254859,115.8298749849,4.5,241,No
16600553,Bread In Common,"Mediterranean, Bakery",Fremantle,Perth,-32.0564810000,115.7453410000,4.4,678,No
16596238,Nao Japanese,"Japanese, Ramen","Hay Street, Perth CBD",Perth,-31.9546343231,115.8609222248,4.7,343,No
16597513,Pacific Rim Mix Plate,"Hawaiian, Japanese",Applecross,Perth,-32.0219001116,115.8322872967,4.9,213,No
16596903,Moore & Moore,"Coffee and Tea, Modern Australian, Cafe Food","Henry Street, Fremantle",Perth,-32.0565317823,115.7447637990,4.4,380,No
16600511,Palsaik Namoo,"Korean, BBQ",Perth CBD,Perth,-31.9543131550,115.8605121821,4.5,217,No
16599893,La Veen Coffee & Kitchen,"Modern Australian, Cafe Food","Wellington Street, Northbridge",Perth,-31.9506724119,115.8558364213,4.2,276,No
18016553,Chu Bakery,Bakery,Highgate,Perth,-31.9394189923,115.8648087457,4.5,243,No
16600889,Little Creatures Fremantle Brewery,"Bar Food, Modern Australian",Fremantle,Perth,-32.0591692695,115.7449022681,4.3,758,No
16599949,Gordon St Garage,"Modern Australian, Cafe Food, Coffee and Tea",West Perth,Perth,-31.9482935331,115.8471752331,4.0,787,No
16596362,Sayers,"Modern Australian, Cafe Food","Carr Place, Leederville",Perth,-31.9372790000,115.8425980000,4.5,559,No
16597137,The Raw Kitchen,"Healthy Food, Pizza, Cafe Food",Fremantle,Perth,-32.0534455245,115.7499803603,4.5,385,No
16598699,Gusto Food,"Desserts, Cafe Food",South Perth,Perth,-31.9808587919,115.8637214452,4.6,398,No
16599765,Harvest Espresso,Cafe Food,Victoria Park,Perth,-31.9800215450,115.9000113979,4.4,443,No
16596244,Nine Fine Food,"Japanese, Modern Australian",Perth CBD,Perth,-31.9403095293,115.8616879955,4.7,294,No
16601597,Hylin,"Coffee and Tea, Cafe Food",West Leederville,Perth,-31.9420950000,115.8380260000,4.5,304,No
